county,age_category,quarter,susceptible,new_infected,current_infected,new_severe,cumulative_severe
Glenn,65+,Q2,57522,1446,1857,89,568
Glenn,65+,Q3,39663,713,1052,102,2319
Glenn,65+,Q4,2370,0,0,0,153
Humboldt,0-17,Q1,240256,609,618,3,21
Humboldt,0-17,Q2,306585,7643,7781,3,51
Humboldt,0-17,Q3,210525,3585,3672,12,207
Humboldt,0-17,Q4,15562,0,0,0,18
Humboldt,18-49,Q1,521059,1328,1382,5,24
Humboldt,18-49,Q2,596039,15178,15830,82,532
Humboldt,18-49,Q3,443623,8045,8592,78,1954
Humboldt,18-49,Q4,32446,0,0,0,168
Humboldt,50-64,Q1,202559,541,604,7,28
Humboldt,50-64,Q2,244022,6047,6979,159,945
Humboldt,50-64,Q3,181172,3322,4084,153,3766
Humboldt,50-64,Q4,13110,0,0,0,324
Humboldt,65+,Q1,246279,658,813,26,106
Humboldt,65+,Q2,306284,7895,10178,498,3016
Humboldt,65+,Q3,210151,3527,5269,500,11773
Humboldt,65+,Q4,15790,0,0,0,1044
Imperial,0-17,Q1,474211,1258,1277,0,0
Imperial,0-17,Q2,594107,14841,15099,10,55
Imperial,0-17,Q3,411537,6940,7142,8,226
Imperial,0-17,Q4,32130,0,0,0,19
Imperial,18-49,Q1,724875,1862,1942,7,16
Imperial,18-49,Q2,878606,21807,22838,114,605
Imperial,18-49,Q3,647158,11718,12492,116,2770
Imperial,18-49,Q4,48619,0,0,0,248
Imperial,50-64,Q1,265970,708,788,13,50
Imperial,50-64,Q2,314054,7484,8656,184,1140
Imperial,50-64,Q3,244322,4797,5835,220,5046
Imperial,50-64,Q4,16896,0,0,0,417
Imperial,65+,Q1,243872,596,719,21,86
Imperial,65+,Q2,315653,7707,9927,482,2910
Imperial,65+,Q3,221628,3906,5595,451,11169
Imperial,65+,Q4,16222,0,0,0,968
Inyo,0-17,Q1,32682,75,75,0,0
Inyo,0-17,Q2,40153,993,1017,0,0
Inyo,0-17,Q3,28809,505,522,2,22
Inyo,0-17,Q4,2088,0,0,0,2
Inyo,18-49,Q1,50370,124,129,0,0
Inyo,18-49,Q2,61525,1575,1646,7,31
Inyo,18-49,Q3,43133,776,833,13,210
Inyo,18-49,Q4,4084,0,0,0,25
Inyo,50-64,Q1,35073,80,88,3,13
Inyo,50-64,Q2,43160,1117,1286,29,195
Inyo,50-64,Q3,30159,512,653,34,749
Inyo,50-64,Q4,2219,0,0,0,66
Inyo,65+,Q1,43713,110,131,4,16
Inyo,65+,Q2,54684,1378,1749,92,565
Inyo,65+,Q3,36721,648,937,77,1980
Inyo,65+,Q4,3744,0,0,0,253
Kern,0-17,Q1,2205184,5276,5358,5,26
Kern,0-17,Q2,2786093,68940,70224,69,420
Kern,0-17,Q3,1979434,34743,35676,58,1560
Kern,0-17,Q4,147520,0,0,0,138
Kern,18-49,Q1,3756116,9726,10099,40,182
Kern,18-49,Q2,4581039,113143,118236,562,3544
Kern,18-49,Q3,3317991,58701,62659,556,13721
Kern,18-49,Q4,239885,0,0,0,1158
Kern,50-64,Q1,1265489,3160,3510,37,141
Kern,50-64,Q2,1571250,39918,45964,935,5645
Kern,50-64,Q3,1091907,18304,22805,960,22323
Kern,50-64,Q4,80735,0,0,0,1932
