county,quarter,age_category,susceptible.x,new_infected,current_infected,new_severe,cumulative_severe,flu_incidence,severe_incidence,susceptible.y,cum_fully_vax,total_partial_vax,cum_atleast_one_dose,cum_unvax
Solano,Q3,50-64,665364,11925,14742,533,13289,1.7922520605262684,0.08010652815601685,84246,71208,7048,78256,5990
Solano,Q3,65+,643566,11249,16232,1378,32410,1.7479170745502406,0.21411945317185804,78679,70783,7080,77863,816
Solano,Q4,0-17,58465,0,0,0,47,0,0,98196,37043,5342,42391,55805
Solano,Q4,18-49,95761,0,0,0,474,0,0,184205,133879,17517,151397,32808
Solano,Q4,50-64,47576,0,0,0,1112,0,0,84246,71208,7069,78277,5969
Solano,Q4,65+,59691,0,0,0,3522,0,0,78679,70783,7115,77898,781
Sonoma,Q1,0-17,781407,2043,2068,1,2,0.2614514587148567,1.2797428228823136e-4,89339,46699,5016,51724,37615
Sonoma,Q1,18-49,1749886,4517,4687,17,60,0.25813110111172954,9.714918571838394e-4,198918,161928,13713,175645,23273
Sonoma,Q1,50-64,901561,2276,2523,29,136,0.2524510266082938,0.00321664313340971,101647,86728,4937,91665,9982
Sonoma,Q1,65+,1057320,2729,3337,102,400,0.2581053985548368,0.00964703211894223,110975,103034,5826,108860,2115
Sonoma,Q2,0-17,956004,23772,24189,13,76,2.486600474475002,0.00135982694633076,89339,47225,5088,52322,37017
Sonoma,Q2,18-49,2088417,50694,53081,264,1550,2.4273887829873058,0.01264115356272238,198918,162164,13976,176144,22774
Sonoma,Q2,50-64,1103961,27470,31582,628,3765,2.4883125400263233,0.05688606753318278,101647,86760,5045,91805,9842
Sonoma,Q2,65+,1279210,31555,40736,2000,12027,2.4667568264788424,0.15634649510244605,110975,103050,5975,109025,1950
Sonoma,Q3,0-17,687914,11882,12203,19,390,1.7272507900696887,0.00276197315362094,89339,47367,5248,52624,36715
